spam,"Huh, anyway check out this you[tube] channel: kobyoshi02"
spam,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!"
spam,just for test I have to say murdev.com
spam,me shaking my sexy ass on my channel enjoy ^_^ •ÈÀ
spam,watch?v=vtaRGgvGtWQ   Check this out .•ÈÀ
spam,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com"
spam,Subscribe to my channel •ÈÀ
ham,i turned it on mute as soon is i came on i just wanted to check the  views...•ÈÀ
spam,You should check my channel for Funny VIDEOS!!•ÈÀ
spam,and u should.d check my channel and tell me what I should do next!•ÈÀ
spam,Hey subscribe to me•ÈÀ
spam, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.•ÈÀ
spam,https://twitter.com/GBphotographyGB•ÈÀ
spam,subscribe like comment•ÈÀ
spam,please like :D https://premium.easypromosapp.com/voteme/19924/616375350•ÈÀ
spam,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!•ÈÀ"
ham,I'm only checking the views•ÈÀ
spam,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 •ÈÀ
spam,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K•ÈÀ
spam,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel•ÈÀ"
ham,i think about 100 millions of the views come from people who only wanted to  check the views•ÈÀ
spam,subscribe to my channel people :D•ÈÀ
spam,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie•ÈÀ
ham,just checking the views•ÈÀ
spam,CHECK OUT MY CHANNEL
spam,marketglory . com/strategygame/andrijamatf earn real money from game
spam,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!
spam,Check me out! I'm kyle. I rap so yeah •ÈÀ
ham,I dont even watch it anymore i just come here to check on 2 Billion or not•ÈÀ
spam,"Subscribe to me for free Android games, apps.. •ÈÀ"
spam,everyone please come check our newest song in memories of Martin Luther  King Jr.•ÈÀ
ham,"Came here to check the views, goodbye.•ÈÀ"
spam,sub my channel for no reason -_-•ÈÀ
spam,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o•ÈÀ"
ham,2 billion....Coming soon•ÈÀ
ham,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. •ÈÀ
spam,Check my channel please! And listen to the best music ever :P•ÈÀ
spam,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS•ÈÀ
spam," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN•ÈÀ"
spam,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin•ÈÀ"
spam,YouTube/codytolleson for awesome videos I'll subscribe back •ÈÀ
spam,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel•ÈÀ
spam,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) •ÈÀ
spam,http://www.twitch.tv/jaroadc come follow and watch my stream!•ÈÀ
spam,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz•ÈÀ"
spam,....subscribe......  ......to my........  .....channel.......•ÈÀ
ham,"now its 1,884,034,783 views! pls. comment the view count the next hour :P•ÈÀ"
spam,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb •ÈÀ
ham,go here to check the views :3•ÈÀ
ham,thumbs up if u checked this video to see hw views it got•ÈÀ
spam,Plz subscribe to my channel and I will subscribe back xx•ÈÀ
ham,i check back often to help reach 2x10^9 views and I avoid watching Baby•ÈÀ
ham,This video will get to 2 billion just because of people checking if it has  hit 2 billion yet.•ÈÀ
spam,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!•ÈÀ
spam,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share •ÈÀ
spam,Pls follow this channel!! http://www.twitch.tv/sevadus•ÈÀ
spam,hi guys check my youtube channel•ÈÀ
spam,Subscribe and like to me for more how to videos on minecraft!•ÈÀ
spam,http://tankionline.com#friend=cd92db3f4 great game check it out!•ÈÀ
spam,Subscribe ME!•ÈÀ
ham,Im just to check how much views it has•ÈÀ
ham,The first comment is chuck norrus ovbiously :D•ÈÀ
ham,Behold the most viewed youtube video in the history of ever•ÈÀ
ham,when is this gonna hit 2 billion?•ÈÀ
ham,the most viewed youtube video of all time?•ÈÀ
ham,"969,210 dislikes like dislike themselves•ÈÀ"
ham,psy=korean•ÈÀ
ham,"OMG this oldspice spraytan party commercial omg....i'm sitting here ""NO  this isn't a real thing is it? OMG"" •ÈÀ"
ham,"This is the only video on youtube that get so much views just because we  want to see how much views it has. 1.000.000 every day, I mean, Most people  think a video is popular when it actually gets 1.000.000 views.•ÈÀ"
ham,It's been back for quite a while now.
ham,2 Billions in 2014
spam,plz check out fablife / welcome to fablife for diys and challenges so plz  subscribe thx!•ÈÀ
spam,Sub my channel!•ÈÀ
spam,http://www.ebay.com/itm/131338190916?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 •ÈÀ
spam,http://www.guardalo.org/best-of-funny-cats-gatti-pazzi-e-divertenti-2013-5287/100000415527985/ •ÈÀ
spam,"if your like drones, plz subscribe to Kamal Tayara. He takes videos with  his drone that are absolutely beautiful.•ÈÀ"
spam,http://hackfbaccountlive.com/?ref=4604617•ÈÀ
spam,"WHATS UP EVERYONE!? :-) I Trying To Showcase My Talent To The World! I Have Over 3000 SUBSCRIBERS! I PROMISE! I Dont Suck! Please Spread My Covers Around, SUBSCRIBE &amp; Share! Thanks so much for all your support! Lucas Trigo -Stay Awesome! •ÈÀ"
spam,-----&gt;&gt;&gt;&gt;  https://www.facebook.com/video.php?v=10200253113705769&amp;set=vb.201470069872822&amp;type=3&amp;permPage=1  &lt;--------•ÈÀ
spam,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !•ÈÀ"
spam,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!•ÈÀ
ham,Admit it you just came here to check the number of viewers •ÈÀ
ham,"Just coming to check if people are still viewing this video. And  apparently, they still do.•ÈÀ"
spam,Check my first video out•ÈÀ
spam,Check my channel•ÈÀ
ham,PSY - GANGNAM STYLE (ê¡¥‘â¬“__’ÄÛ“ù_) M/V: http://youtu.be/9bZkp7q19f0•ÈÀ
spam,Suscribe My Channel Please XD lol•ÈÀ
ham,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)•ÈÀ
spam,http://binbox.io/1FIRo#123•ÈÀ
ham,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.•ÈÀ
spam,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project•ÈÀ
spam,There is one video on my channel about my brother...•ÈÀ
spam,"Check my channel, please!•ÈÀ"
spam,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD•ÈÀ"
ham,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:•ÈÀ
spam,Plizz withing my channel •ÈÀ
spam,I made a gaming channel (Unique right?) :L Angry Minecraft!•ÈÀ
spam,Please help me go here http://www.gofundme.com/littlebrother•ÈÀ
